Review,Padded_Sequence,Sentiment
i would definitely recommend the wings as well as the pizza,"[  3  52 165 127   1 435  46  72  46   1  98   0   0   0   0   0   0   0
   0   0   0   0   0]",1
now i am getting angry and i want my damn pho,"[128   3 209 187 680   2   3 129  18 436 210   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the staff are great the ambiance is great,"[  1  99  25  22   1 188   7  22   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
dont go here,[47 37 32  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
i can assure you that you wont be disappointed,"[  3 130 437  27  30  27  62  23  73   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
try them in the airport to experience some tasty food and speedy friendly service,"[211 146  13   1 681   6  74  81 131  11   2 682  59  17   0   0   0   0
   0   0   0   0   0]",1
the feel of the dining room was more college cooking course than high class dining and the service was slow at best,"[  1 109  10   1 189 683   4  86 684 685 686 110 438 687 189   2   1  17
   4 132  34  48   0]",0
everyone is very attentive providing excellent customer service,"[256   7  24 212 688 147 439  17   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
waitress was sweet and funny,"[257   4 689   2 690   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
my friend loved the salmon tartar,"[ 18 440 148   1 322 691   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
first time there and might just be the last,"[100  40  49   2 692  50  23   1 190   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i can take a little bad service but the food sucks,"[  3 130 191   5 149 111  17  35   1  11 323   0   0   0   0   0   0   0
   0   0   0   0   0]",0
ive never been treated so bad,"[ 87  56  82 324  20 111   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
point your finger at any item on the menu order it and you wont be disappointed,"[325  55 693  34 150 694  31   1  93 101   9   2  27  62  23  73   0   0
   0   0   0   0   0]",1
